split,source_folder,source_group,source_image,output_image,output_label,object_count,categories
train,cup,cup:cup_1,dataset/images/cup/cup_000001.jpg,images/train/cup_cup_000001.jpg,labels/train/cup_cup_000001.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000002.jpg,images/train/cup_cup_000002.jpg,labels/train/cup_cup_000002.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000003.jpg,images/train/cup_cup_000003.jpg,labels/train/cup_cup_000003.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000004.jpg,images/train/cup_cup_000004.jpg,labels/train/cup_cup_000004.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000005.jpg,images/train/cup_cup_000005.jpg,labels/train/cup_cup_000005.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000006.jpg,images/train/cup_cup_000006.jpg,labels/train/cup_cup_000006.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000007.jpg,images/train/cup_cup_000007.jpg,labels/train/cup_cup_000007.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000008.jpg,images/train/cup_cup_000008.jpg,labels/train/cup_cup_000008.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000009.jpg,images/train/cup_cup_000009.jpg,labels/train/cup_cup_000009.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000010.jpg,images/train/cup_cup_000010.jpg,labels/train/cup_cup_000010.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000021.jpg,images/train/cup_cup_000021.jpg,labels/train/cup_cup_000021.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000022.jpg,images/train/cup_cup_000022.jpg,labels/train/cup_cup_000022.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000035.jpg,images/train/cup_cup_000035.jpg,labels/train/cup_cup_000035.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000036.jpg,images/train/cup_cup_000036.jpg,labels/train/cup_cup_000036.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000037.jpg,images/train/cup_cup_000037.jpg,labels/train/cup_cup_000037.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000038.jpg,images/train/cup_cup_000038.jpg,labels/train/cup_cup_000038.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000039.jpg,images/train/cup_cup_000039.jpg,labels/train/cup_cup_000039.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000040.jpg,images/train/cup_cup_000040.jpg,labels/train/cup_cup_000040.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000041.jpg,images/train/cup_cup_000041.jpg,labels/train/cup_cup_000041.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000042.jpg,images/train/cup_cup_000042.jpg,labels/train/cup_cup_000042.txt,1,cup:1
train,cup,cup:cup_1,dataset/images/cup/cup_000043.jpg,images/train/cup_cup_000043.jpg,labels/train/cup_cup_000043.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000001.jpg,images/train/cup_cup2_000001.jpg,labels/train/cup_cup2_000001.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000002.jpg,images/train/cup_cup2_000002.jpg,labels/train/cup_cup2_000002.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000003.jpg,images/train/cup_cup2_000003.jpg,labels/train/cup_cup2_000003.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000004.jpg,images/train/cup_cup2_000004.jpg,labels/train/cup_cup2_000004.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000005.jpg,images/train/cup_cup2_000005.jpg,labels/train/cup_cup2_000005.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000006.jpg,images/train/cup_cup2_000006.jpg,labels/train/cup_cup2_000006.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000007.jpg,images/train/cup_cup2_000007.jpg,labels/train/cup_cup2_000007.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000008.jpg,images/train/cup_cup2_000008.jpg,labels/train/cup_cup2_000008.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000009.jpg,images/train/cup_cup2_000009.jpg,labels/train/cup_cup2_000009.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000010.jpg,images/train/cup_cup2_000010.jpg,labels/train/cup_cup2_000010.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000011.jpg,images/train/cup_cup2_000011.jpg,labels/train/cup_cup2_000011.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000012.jpg,images/train/cup_cup2_000012.jpg,labels/train/cup_cup2_000012.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000025.jpg,images/train/cup_cup2_000025.jpg,labels/train/cup_cup2_000025.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000026.jpg,images/train/cup_cup2_000026.jpg,labels/train/cup_cup2_000026.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000027.jpg,images/train/cup_cup2_000027.jpg,labels/train/cup_cup2_000027.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000028.jpg,images/train/cup_cup2_000028.jpg,labels/train/cup_cup2_000028.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000029.jpg,images/train/cup_cup2_000029.jpg,labels/train/cup_cup2_000029.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000030.jpg,images/train/cup_cup2_000030.jpg,labels/train/cup_cup2_000030.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000031.jpg,images/train/cup_cup2_000031.jpg,labels/train/cup_cup2_000031.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000032.jpg,images/train/cup_cup2_000032.jpg,labels/train/cup_cup2_000032.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000033.jpg,images/train/cup_cup2_000033.jpg,labels/train/cup_cup2_000033.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000034.jpg,images/train/cup_cup2_000034.jpg,labels/train/cup_cup2_000034.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000035.jpg,images/train/cup_cup2_000035.jpg,labels/train/cup_cup2_000035.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000036.jpg,images/train/cup_cup2_000036.jpg,labels/train/cup_cup2_000036.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000037.jpg,images/train/cup_cup2_000037.jpg,labels/train/cup_cup2_000037.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000038.jpg,images/train/cup_cup2_000038.jpg,labels/train/cup_cup2_000038.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000039.jpg,images/train/cup_cup2_000039.jpg,labels/train/cup_cup2_000039.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000040.jpg,images/train/cup_cup2_000040.jpg,labels/train/cup_cup2_000040.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000041.jpg,images/train/cup_cup2_000041.jpg,labels/train/cup_cup2_000041.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000042.jpg,images/train/cup_cup2_000042.jpg,labels/train/cup_cup2_000042.txt,1,cup:1
train,cup,cup:cup_2_extra,dataset/images/cup/cup2_000049.jpg,images/train/cup_cup2_000049.jpg,labels/train/cup_cup2_000049.txt,1,cup:1
