epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8022,0.5425,2.39113,1.03294,1,0.13551,0.68567,0.62798,0.34796,2.56504,0.86393,0.000325,0.000325,0.000325
2,26.2052,0.51085,1.25234,0.99887,0.69251,0.79197,0.88313,0.76487,0.56402,1.50836,1.03881,0.000655941,0.000655941,0.000655941
3,34.5427,0.53039,1.12464,0.99506,0.49676,0.76646,0.74306,0.54335,0.7712,2.51874,1.28456,0.0009802,0.0009802,0.0009802
4,42.7681,0.52798,1.07194,0.99409,0.57585,0.82134,0.7419,0.65381,0.59115,1.73979,1.0353,0.00121287,0.00121287,0.00121287
5,51.1626,0.52364,0.97262,0.99323,0.82209,0.80308,0.878,0.69549,0.58051,1.31618,1.03701,0.0012005,0.0012005,0.0012005
6,59.4801,0.51152,0.87433,0.98461,0.91003,0.85479,0.94181,0.79005,0.64374,1.1477,1.10496,0.00118812,0.00118812,0.00118812
7,67.8977,0.49478,0.8271,0.96916,0.67602,0.64985,0.63757,0.48305,0.6699,5.17802,1.2118,0.00117575,0.00117575,0.00117575
8,76.3643,0.48804,0.7763,0.96117,0.92697,0.98962,0.96877,0.9013,0.37879,0.67677,0.88242,0.00116337,0.00116337,0.00116337
9,84.8649,0.46412,0.70753,0.95763,0.88482,0.94901,0.97317,0.9022,0.38894,0.84966,0.89176,0.001151,0.001151,0.001151
10,93.402,0.44907,0.66883,0.94788,0.90795,0.93081,0.94139,0.87469,0.4199,0.71559,0.90802,0.00113863,0.00113863,0.00113863
11,101.849,0.44364,0.62575,0.95471,0.84355,0.89694,0.9173,0.86573,0.37111,0.8506,0.86447,0.00112625,0.00112625,0.00112625
12,110.945,0.4334,0.62359,0.93955,0.91548,0.90991,0.95959,0.8849,0.51623,0.67107,0.97144,0.00111388,0.00111388,0.00111388
